Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Chris Rodriguez Jr.,JAC,RB66,70.4,318.3,2.9,5.3,40.3,0.1,0.4,58.9
Robbie Ouzts,SEA,TE38,0,0,0,25.5,247.9,1.5,0.5,58.5
Zamir White,LV,RB67,67.9,263.3,1.6,11.5,80.5,0.4,0.1,57.5
Dawson Knox,BUF,TE39,0,0,0,21.9,237.8,1.9,0,57.1
Terrance Ferguson,LAR,TE40,0,0,0,23,235.4,1.9,0.4,57.1
Jaylin Noel,HOU,WR98,0,13,0,21.8,251.2,1.4,0,56.7
Kenneth Gainwell,TB,RB68,59.5,229.6,1.6,12.7,89.7,0.4,0.4,56
Jaleel McLaughlin,DEN,RB69,39.6,169.3,0.9,18.1,109.8,0.9,0.5,55.9
Jalen McMillan,TB,WR99,1.4,12.2,0,18,222.6,2.3,0.4,54.5
Jack Bech,LV,WR100,0,2.5,0,20,243.1,1.5,0,53.4
Kyle Monangai,CHI,RB70,44.3,265.6,2.4,6.4,45.5,0.1,0.1,52.1
Gunnar Helm,TEN,TE41,0,0,0,23,225.8,1.2,0.4,52
Devin Neal,NO,RB71,53.6,247.8,1.7,8.3,61.6,0.4,0.1,51.6
Jarquez Hunter,LAR,RB72,61.6,250.9,2,7.1,61.3,0.4,0.7,51.5
Chimere Dike,TEN,WR101,2.1,8.9,0,18.8,222.8,1.5,0,50.9
Foster Moreau,HOU,TE42,0,0,0,19.1,217.9,1.5,0,50
Trevor Etienne,CAR,RB73,48.3,192.8,1.5,10.8,87.7,0.4,0.4,49.5
Isaac Guerendo,SF,RB74,50.1,239.7,1.9,7.5,67.2,0.1,0.4,49.3
David Moore,CAR,WR102,0,0,0,18.7,229.8,1.3,0.1,49.1
Devin Singletary,NYG,RB75,52,236.7,1.5,9.3,63.5,0.1,0.4,48.7
Will Shipley,PHI,RB76,40.2,214.5,1.4,9.2,68.1,0.5,0.1,48.1
Isaiah Bond,CLE,WR103,0,0,0,18.3,221.5,1.3,0,48
Oronde Gadsden II,LAC,TE43,0,0,0,19.1,195.5,1.6,0.1,47.9
Tommy Tremble,CAR,TE44,0,0,0,19.3,184.6,1.7,0.4,47.2
Luke Musgrave,GB,TE45,0,0,0,19.3,187,1.4,0,46.4
Jake Bobo,SEA,WR104,0,0,0,16.9,203.6,1.3,0.1,45.1
