Player,Team,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Christian Watson,GB,WR91,3.3,14,0,19.9,355.3,2.3,0.4,60.2
KaVontae Turpin,DAL,WR92,8.3,57.9,0.5,23.7,289.7,1.9,0.7,59.5
Ty Johnson,BUF,RB62,45.2,206,0.9,15.1,165.3,1.5,0.1,58.9
Keaton Mitchell,LAC,RB63,66.1,322.4,1.7,9.1,85.5,0.5,0,58.6
Tahj Brooks,CIN,RB64,66.1,266.1,2.1,12.4,103.6,0.7,1,58
Malik Washington,MIA,WR93,2,13.8,0.1,30,313,1.8,0.6,57.9
Samaje Perine,CIN,RB65,49.5,201.6,1.3,18.4,161.8,0.9,0.7,57.6
Dont'e Thornton Jr.,LV,WR94,0,2,0,24.9,324.6,2,0.1,57
Chris Rodriguez Jr.,JAC,RB66,70.4,318.3,2.9,5.3,40.3,0.1,0.4,56.2
Harold Fannin Jr.,CLE,TE34,0,0,0,30.7,303.4,1.8,0.4,55.6
Austin Hooper,ATL,TE35,0,0,0,29.6,294.7,1.9,0.4,54.7
Jalen Nailor,LV,WR95,1.8,3.1,0,21,285.6,2.6,0.4,54.3
Cole Kmet,CHI,TE36,0,0,0,28.4,272.7,2.3,0.4,54.3
Van Jefferson,WAS,WR96,0,0,0,23.6,303.8,1.9,0.1,53.4
Devaughn Vele,NO,WR97,0,1.7,0,27.5,292,1.7,0.2,52.9
Zamir White,LV,RB67,67.9,263.3,1.6,11.5,80.5,0.4,0.1,51.7
Michael Mayer,LV,TE37,0,0,0,28.5,262.1,1.8,0.1,51.1
Kenneth Gainwell,TB,RB68,59.5,229.6,1.6,12.7,89.7,0.4,0.4,49.6
Kyle Monangai,CHI,RB69,44.3,265.6,2.4,6.4,45.5,0.1,0.1,48.9
Jarquez Hunter,LAR,RB70,61.6,250.9,2,7.1,61.3,0.4,0.7,47.9
Devin Neal,NO,RB71,53.6,247.8,1.7,8.3,61.6,0.4,0.1,47.5
Jaleel McLaughlin,DEN,RB72,39.6,169.3,0.9,18.1,109.8,0.9,0.5,46.8
Dawson Knox,BUF,TE38,0,0,0,21.9,237.8,1.9,0,46.2
Jaylin Noel,HOU,WR98,0,13,0,21.8,251.2,1.4,0,45.8
Robbie Ouzts,SEA,TE39,0,0,0,25.5,247.9,1.5,0.5,45.8
Terrance Ferguson,LAR,TE40,0,0,0,23,235.4,1.9,0.4,45.6
Isaac Guerendo,SF,RB73,50.1,239.7,1.9,7.5,67.2,0.1,0.4,45.6
Jalen McMillan,TB,WR99,1.4,12.2,0,18,222.6,2.3,0.4,45.5
Trevor Etienne,CAR,RB74,48.3,192.8,1.5,10.8,87.7,0.4,0.4,44.1
Devin Singletary,NYG,RB75,52,236.7,1.5,9.3,63.5,0.1,0.4,44
Will Shipley,PHI,RB76,40.2,214.5,1.4,9.2,68.1,0.5,0.1,43.5
Jack Bech,LV,WR100,0,2.5,0,20,243.1,1.5,0,43.4
Chimere Dike,TEN,WR101,2.1,8.9,0,18.8,222.8,1.5,0,41.6
Emanuel Wilson,SEA,RB77,43,207.1,1.4,7.9,57.1,0.4,0.4,40.7
Gunnar Helm,TEN,TE41,0,0,0,23,225.8,1.2,0.4,40.5
Foster Moreau,HOU,TE42,0,0,0,19.1,217.9,1.5,0,40.5
David Moore,CAR,WR102,0,0,0,18.7,229.8,1.3,0.1,39.7
Elijah Mitchell,NE,RB78,59.6,200.8,1.6,7.2,40.7,0.4,0.1,39.5
Sean Tucker,TB,RB79,45.2,232.1,1.4,5.3,41,0.4,0.7,38.9
Isaiah Bond,CLE,WR103,0,0,0,18.3,221.5,1.3,0,38.8
Oronde Gadsden II,LAC,TE43,0,0,0,19.1,195.5,1.6,0.1,38.4
Tommy Tremble,CAR,TE44,0,0,0,19.3,184.6,1.7,0.4,37.5
Luke Musgrave,GB,TE45,0,0,0,19.3,187,1.4,0,36.8
Jake Bobo,SEA,WR104,0,0,0,16.9,203.6,1.3,0.1,36.7
Demarcus Robinson,SF,WR105,0,0.8,0,12.7,194.1,1.8,0,36.6
Josh Oliver,MIN,TE46,0,0,0,17,179.5,1.5,0,35.6
Ben Sinnott,WAS,TE47,0,0,0,17.7,174.2,1.5,0,35
Parker Washington,JAC,WR106,0,5.7,0,17.6,186.9,1.2,0.1,34.8
DJ Giddens,IND,RB80,23.7,163.2,1.3,7.6,56.1,0.1,0,34.1
Brock Wright,DET,TE48,0,0,0,15,135.2,2.2,0,34
Julius Chestnut,TEN,RB81,36.7,144.3,0.8,10.2,74.4,0.3,0,33.9
Dameon Pierce,PHI,RB82,38.1,183.3,1.2,7.6,50.7,0.2,0.8,33.7
Jahan Dotson,ATL,WR107,0,1.7,0,15,180.6,1.3,0,33.6
Tyler Goodson,ATL,RB83,52.6,180.9,1.1,5.7,37.8,0.4,0,33.3
Cade Stover,HOU,TE49,0,0,0,16.9,161,1.2,0,31.9
Kalif Raymond,CHI,WR108,0,4,0,14.5,182.3,1.1,0.6,31.6
Olamide Zaccheaus,ATL,WR109,1.1,6,0,15,165.4,1.1,0.1,31
Elijah Moore,PHI,WR110,0,1.3,0,14.4,158.9,1.2,0,30.6
Xavier Hutchinson,HOU,WR111,0,0,0,14.5,172.1,1,0.1,30.3
Adam Trautman,DEN,TE50,0,0,0,13.5,146.8,1.5,0,30.1
Julian Hill,NE,TE51,0,0,0,17.2,153.9,1.1,0.4,29.7
Kyle Juszczyk,SF,RB84,5.9,24.2,0.3,14.4,136.8,0.8,0.4,29.6
Jalen Royals,KC,WR112,0,2.5,0,13.8,155.4,1.2,0,29.6
Dareke Young,LV,WR113,0,0,0,15.4,171.4,0.9,0.5,29.3
Hassan Haskins,LAC,RB85,28.3,117.6,0.9,7.7,58.8,0.5,0.3,29
Mack Hollins,NE,WR114,0,1.7,0,12.3,153,1.1,0,28.3
AJ Dillon,CAR,RB86,37,154.1,1.3,3.5,28.2,0.1,0,28.2
Chris Brooks,GB,RB87,27.4,136.6,0.9,7.3,48.5,0.1,0,27.8
Arian Smith,NYJ,WR115,0,5.5,0,13.4,161,0.7,0,27.6
Luke Schoonmaker,DAL,TE52,0,0,0,14.9,132.2,1.2,0,27.5
Jeremy Ruckert,NYJ,TE53,0,0,0,16.2,139.3,0.9,0,27.5
Jalin Hyatt,NYG,WR116,0,0,0,12,159.5,0.9,0,27
Isaiah Davis,NYJ,RB88,30.8,152.1,0.9,4.9,35.6,0.1,0,27
Luke McCaffrey,WAS,WR117,0,1,0,13.2,136.1,1,0.1,26.3
Charlie Woerner,ATL,TE54,0,0,0,13.7,131.5,1,0,26.1
Brashard Smith,KC,RB89,14.4,91.4,0.6,8.5,63.1,0.5,0,26
Zavier Scott,MIN,RB90,32,153,1,3,29,0,0,25.7
Payne Durham,TB,TE55,0,0,0,11.9,116.6,1.3,0,25.2
Grant Calcaterra,PHI,TE56,0,0,0,12.3,135.8,0.9,0,24.8
Johnny Mundt,PHI,TE57,0,0,0,13.4,115.2,0.8,0,23.2
Emari Demercado,KC,RB91,18.7,106.3,0.4,8.1,53.9,0.1,0,23.2
Elijah Higgins,ARI,TE58,0,0,0,11.4,110.4,1.1,0,23.1
Kalel Mullings,TEN,RB92,28.5,118.9,0.9,4.2,32.3,0.1,0,23
Kimani Vidal,LAC,RB93,39.6,95.1,0.5,6.4,48.8,0.4,0,22.9
Tai Felton,MIN,WR118,0,1.7,0,10.1,118.2,1,0,22.9
Darnell Washington,PIT,TE59,0,0,0,12.2,122.9,0.7,0,22.7
Daniel Bellinger,TEN,TE60,0,0,0,12.9,122.7,0.6,0,22.1
Blake Whiteheart,CLE,TE61,0,0,0,11.7,116.3,0.7,0,21.9
