Player,Team,POS,FPTS_STD,FPTS_PPR,FPTS_HPPR,ADP_STD,ADP_PPR,ADP_HPPR,RUSH_ATT,RUSH_YDS,RUSH_TDS,REC,REC_YDS,REC_TDS,FUM_LOST,QB_ATT,QB_CMP,QB_YDS,QB_TDS,QB_INTS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,ESPN_ID,NFLREADPY_ID,HEADSHOT
Colston Loveland,CHI,TE16,77.4,131.7,104.5,116,115.7,115.3,0,0,0,54.3,569.6,3.8,1.1,,,,,,,,,,,,,,,,,4723086,00-0040126,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tyjb6vfug7gaunvcune3"
Connor Heyward,LV,TE63,15.7,25.8,20.7,,389.5,,0,0,0,10.1,87.1,1.2,0,,,,,,,,,,,,,,,,,4241961,00-0037304,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9bnasge2v2dtctdtqnf"
Cooper Kupp,SEA,WR38,118.1,193,155.5,90,92.5,100,1.3,9.2,0,74.9,846.5,5.6,0.6,,,,,,,,,,,,,,,,,2977187,00-0033908,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lpaxi9rsedlg9sdr5quw"
Courtland Sutton,DEN,WR22,145.6,222.1,183.8,49.5,52.8,54,0,0.2,0,76.6,1016.6,7.6,0.9,,,,,,,,,,,,,,,,,3128429,00-0034348,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/r2sr6cbma4c7wc3isejj"
D'Andre Swift,CHI,RB23,166.6,203.2,184.9,61,56.2,59,237.6,963.2,6.1,36.6,283.2,1.2,1.1,,,,,,,,,,,,,,,,,4259545,00-0036275,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/owpmwzoilitcodc6cmxo"
DJ Giddens,IND,RB81,30.3,37.9,34.1,208.5,243.5,209,23.7,163.2,1.3,7.6,56.1,0.1,0,,,,,,,,,,,,,,,,,4874509,00-0040179,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uohb3wkn00ew1chqyjue"
DJ Moore,BUF,WR24,143.9,231.1,187.5,49.5,49.7,54.3,9.5,53.8,0.1,87.3,1009.5,6.4,0.9,,,,,,,,,,,,,,,,,3915416,00-0034827,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qphturmeiifnqrnf5pax"
DK Metcalf,PIT,WR16,155.9,234.5,195.2,51,49.3,49.3,0,1.2,0,78.6,1144.1,7.3,1.3,,,,,,,,,,,,,,,,,4047650,00-0035640,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tknefloqsleltfmslj2y"
Dallas Goedert,PHI,TE12,86.1,143.6,114.8,141.5,142.3,141,0,2,0,57.5,634.2,3.9,0.5,,,,,,,,,,,,,,,,,3121023,00-0034351,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a6ljhwvkehvyiufdx3d1"
Dalton Kincaid,BUF,TE13,83.6,140.9,112.2,127,129.8,126.7,0,0,0,57.3,603.2,4,0.5,,,,,,,,,,,,,,,,,4385690,00-0038933,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zwkeaiecuyafkidllebz"
Dalton Schultz,HOU,TE22,68.6,117.4,93,219,259.4,212.3,0,0,0,48.8,503.8,3.2,0.4,,,,,,,,,,,,,,,,,3117256,00-0034383,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xbl9mhuamzv5udb4hyzj"
Dameon Pierce,PHI,RB82,29.9,37.5,33.7,218,275.3,218,38.1,183.3,1.2,7.6,50.7,0.2,0.8,,,,,,,,,,,,,,,,,4360238,00-0037258,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lifrupicniyrosy1vj9c"
Damien Martinez,GB,RB116,2.4,3.4,2.9,301,354,,0,17,0,1,7,0,0,,,,,,,,,,,,,,,,,4808830,00-0040651,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cx7us9eu6fa8rmp6yszj"
